2025-12-18 09:24:32 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:24:32 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:24:32 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:24:32 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:24:32 | INFO     | DF | Running on device cpu
2025-12-18 09:24:32 | INFO     | DF | Model loaded
2025-12-18 09:29:17 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:29:17 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:29:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:29:17 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:29:17 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:29:17 | INFO     | DF | Running on device cpu
2025-12-18 09:29:17 | INFO     | DF | Model loaded
2025-12-18 09:33:42 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:33:42 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:33:42 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:33:42 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:33:42 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:33:42 | INFO     | DF | Running on device cpu
2025-12-18 09:33:42 | INFO     | DF | Model loaded
2025-12-18 09:36:17 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:36:17 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:36:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:36:17 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:36:17 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:36:17 | INFO     | DF | Running on device cpu
2025-12-18 09:36:17 | INFO     | DF | Model loaded
2025-12-18 09:36:49 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:36:49 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:36:49 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:36:49 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:36:49 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:36:49 | INFO     | DF | Running on device cpu
2025-12-18 09:36:49 | INFO     | DF | Model loaded
2025-12-18 09:37:04 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:37:04 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:37:04 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:37:04 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:37:04 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:37:04 | INFO     | DF | Running on device cpu
2025-12-18 09:37:04 | INFO     | DF | Model loaded
2025-12-18 09:37:16 | INFO     | DF | Running on torch 2.9.1
2025-12-18 09:37:16 | INFO     | DF | Running on host Rakibuls-MacBook-Air.local
2025-12-18 09:37:16 | INFO     | DF | Loading model settings of DeepFilterNet2
2025-12-18 09:37:16 | INFO     | DF | Initializing model `deepfilternet2`
2025-12-18 09:37:16 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2025-12-18 09:37:16 | INFO     | DF | Running on device cpu
2025-12-18 09:37:16 | INFO     | DF | Model loaded
